,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,NOP
BCS,NONE,NONE,NONE,NONE,NONE,NONE,NONE,IF_C,NONE,0,BR
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,NOP
BCC,NONE,NONE,NONE,NONE,NONE,NONE,NONE,IF_C,NONE,1,BR
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,NOP
BVS,NONE,NONE,NONE,NONE,NONE,NONE,NONE,IF_V,NONE,0,BR
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,NOP
BVC,NONE,NONE,NONE,NONE,NONE,NONE,NONE,IF_V,NONE,1,BR
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,NOP
CLC,NONE,NONE,NONE,NONE,NONE,NONE,CLC,IF_INT,NONE,0,INT
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,IFCH
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
CLV,NONE,NONE,NONE,NONE,NONE,NONE,CLV,IF_INT,NONE,0,INT
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,IFCH
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
CLZ,NONE,NONE,NONE,NONE,NONE,NONE,CLZ,IF_INT,NONE,0,INT
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,IFCH
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
CLS,NONE,NONE,NONE,NONE,NONE,NONE,CLS,IF_INT,NONE,0,INT
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,IFCH
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
CCC,NONE,NONE,NONE,NONE,NONE,NONE,CCC,IF_INT,NONE,0,INT
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,IFCH
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
